Name,Age,Gender,City,Food_Preference,Sleep_Schedule,Cleanliness_Level,Smoking_Drinking,Personality_Description,Ideal_Roommate,Summary
User9797,22,Other,Pune,Vegetarian,Night owl,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Quiet, non-smoker, prefers early mornings","Their hobbies include reading, playing video games, and watching movies.  
They are studying engineering and are focused on their academics.  
In their free time, they enjoy exploring new cafes and restaurants in the city.  
They are looking for a roommate who is respectful of their study time and values a quiet living environment."
User5315,26,Male,Ahmedabad,Vegetarian,Flexible,Moderately Clean,Occasionally,"Studies long hours, needs cooperative environment","Studious, respects space, loves cricket","Their preferred living environment is: Quiet, organized, and conducive to studying.  
They are open to living with both male and female roommates.  
Overall, they are seeking a harmonious living situation where they can focus on their studies and have a cooperative and respectful roommate."
User4258,20,Female,Bangalore,Eggetarian,Flexible,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Minimalist, prefers clean and peaceful room","Their hobbies/interests include gaming, watching anime, and participating in group activities.  
They are currently studying Computer Science at a local university.  
They are looking for a roommate who is minimalist, values cleanliness, and prefers a peaceful living environment."
User1319,19,Female,Chennai,Vegetarian,Early riser,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy","🏠 Preferred Accommodation:
- Looking for a shared apartment or flat in a safe and convenient location in Chennai.
- Budget-conscious and looking for a cost-effective living arrangement.

📅 Move-in Date:
- Flexible with move-in dates but ideally looking to move in within the next month.

🎯 Roommate Expectations:
- Seeking a roommate who is respectful, responsible, and easy to communicate with.
- Open to living with students or young professionals of any gender.
- Non-smoking and vegetarian-friendly preferred.

📧 Contact:
- If you think we could be a good match as roommates, feel free to reach out to User1319 at user1319@gmail.com. Let's chat and see if we can make a comfortable living arrangement together!"
User8962,19,Other,Bangalore,Vegetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats,"Their hobbies include reading, playing music, and exploring new cafes in the city.  
They are studying Computer Science and are looking for a roommate who is also a student and values a quiet study environment.  
Overall, they are a responsible and organized individual looking for a like-minded roommate to share their living space with."
User9645,27,Female,Hyderabad,Eggetarian,Flexible,Messy,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Open-minded, talkative, doesn't mind visitors","Their hobbies/interests include reading, cooking, and exploring new cafes in the city. They are currently pursuing a degree in Psychology and enjoy discussing deep topics and engaging in philosophical debates.

They are looking for a roommate who is respectful of their space and belongings, but also enjoys socializing and having meaningful conversations. Someone who is open-minded and understanding of different perspectives would be an ideal match for them. 

Overall, User9645 is a laid-back individual who values peace and harmony in their living environment, and is looking for a roommate who shares similar values and interests."
User7118,25,Other,Kolkata,Vegetarian,Early riser,Very Clean,Yes,"Late night gamer, loves anime and group activities","Quiet, non-smoker, prefers early mornings","🏠 Housing Preferences:
- Looking for a furnished room in a shared accommodation in Kolkata.
- Budget: Flexible, but looking for a cost-effective option.
- Preferred location: Near public transportation and amenities.

🤝 Roommate Expectations:
- Respectful of personal space and belongings.
- Clean and tidy in shared living spaces.
- Communicative and open to discussing any concerns or issues.
- Non-smoker and preferably quiet during late hours.

🌟 Additional Information:
- Enjoys cooking and trying out new recipes.
- Interested in exploring local cafes and restaurants.
- Enthusiastic about outdoor activities and fitness.
- Open to socializing with roommates and building a friendly living environment."
User4770,27,Male,Delhi,Vegetarian,Flexible,Messy,Yes,"Loves cooking, listens to music while studying","Friendly, okay with music, respects privacy","🏠 Housing Preferences:
- Looking for a shared accommodation in Delhi.
- Budget-friendly options preferred.
- Open to living with both males and females.

📅 Move-in Date:
- Flexible with move-in date.

📝 Additional Information:
- Enjoys watching movies and TV shows in their free time.
- Not a party person, prefers a quiet and peaceful living environment.
- Interested in exploring new cuisines and trying out different recipes."
User1514,23,Male,Ahmedabad,Vegetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying","Night owl, enjoys late-night discussions",They prefer someone who is also vegetarian and values cleanliness in shared spaces. They are open to someone who enjoys cooking together and appreciates music as a study aid.
User3167,27,Other,Kolkata,Vegetarian,Night owl,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy","Their hobbies/interests include: Playing cricket, watching movies, listening to music, and cooking.

🏠 Roommate Preferences:

- Age: 25-30
- Gender: Any
- Diet: Any
- Sleep routine: Flexible
- Cleanliness level: Moderately Clean
- Smoking/drinking habits: Okay with smoking/drinking
- Personality: Friendly, respectful of privacy, enjoys socializing
- Hobbies: Open to sharing common interests or trying out new activities together"
User8062,23,Female,Lucknow,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Quiet, non-smoker, prefers early mornings","Their hobbies and interests include: Reading, dancing, cooking, and watching movies.  
They are studying for a Bachelor's degree in Business Administration.  
They are friendly, respectful, and easy to get along with.  
Overall, they are looking for a roommate who is compatible with their lifestyle and habits."
User7596,23,Male,Hyderabad,Vegetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors","They are currently studying Computer Science at a local university and enjoy spending their free time coding, reading, and exploring new cafes in the city. They are looking for a roommate who is respectful of their study habits and enjoys engaging in deep conversations. Overall, they are seeking a roommate who is friendly, open-minded, and enjoys the occasional social gathering."
User4006,22,Female,Hyderabad,Vegetarian,Night owl,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Night owl, enjoys late-night discussions","🏠 Preferences for living arrangements:  
- Prefer a quiet and peaceful environment for studying  
- Open to sharing household chores and responsibilities  
- Interested in occasional movie nights or book discussions with roommates  

💼 Current Occupation: Student pursuing a degree in Literature  
📚 Hobbies: Reading, writing, painting, and exploring new cafes and bookstores  
🎶 Music Preferences: Indie, acoustic, and classical music  
🎬 Movie/TV Show Preferences: Mystery, drama, and fantasy genres  

🌟 Additional Information:  
- Enjoys long walks and exploring nature  
- Interested in meditation and mindfulness practices  
- Values open communication and mutual respect in relationships  
- Prefers a roommate who is understanding and respectful of personal space  

If you think we could be a good match as roommates, feel free to reach out! Let's create a peaceful and harmonious living environment together. 🌿📚🌙"
User1241,19,Male,Bangalore,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings","Their hobbies and interests include reading, meditation, and exploring new cafes in the city. They are studying Engineering at a local university and are looking for a quiet and peaceful living environment to focus on their studies."
User3697,24,Male,Lucknow,Non-Vegetarian,Night owl,Moderately Clean,No,"Studies long hours, needs cooperative environment","Minimalist, prefers clean and peaceful room","Their hobbies and interests include reading, playing video games, and exploring new cafes in the city.  
They are currently pursuing a degree in Computer Science and are passionate about technology and programming.

In terms of living preferences, they prefer a quiet and organized living space, with a focus on studying and personal growth. They are looking for a roommate who shares similar values and can create a harmonious environment for both to thrive in."
User3536,21,Female,Hyderabad,Vegetarian,Flexible,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative","They prefer a roommate who values personal space and quiet time, and who is willing to cooperate in maintaining a peaceful living environment."
User1936,18,Other,Kolkata,Eggetarian,Flexible,Very Clean,Yes,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy","Their current living situation is: Living with family.  
They prefer to study in: Quiet and organized environment.  
Their hobbies/interests include: Reading, playing musical instruments, watching movies.  

Overall, this student is looking for a roommate who is friendly and respectful of their privacy, while also being okay with music and creating a cooperative environment for studying."
User4044,19,Other,Mumbai,Eggetarian,Early riser,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries","Their preferred housing environment is: Quiet and peaceful.

Overall, User4044 is a responsible and considerate individual looking for a roommate who shares similar habits and values."
User1651,27,Male,Lucknow,Eggetarian,Flexible,Messy,Occasionally,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats,"🏠 Preferred Living Environment: 
User1651 is looking for a spacious and comfortable living space with good internet connection for gaming and streaming. They prefer a social and friendly atmosphere with roommates who are open to group activities and occasional late-night gaming sessions.

💼 Occupation:
User1651 is currently pursuing a degree in Computer Science and works part-time as a freelance web developer. They enjoy coding and are passionate about technology and gaming.

🌟 Interests:
User1651 enjoys playing video games, watching anime, and participating in group activities such as board games and outdoor sports. They are also interested in exploring new food and cooking together with roommates.

🎶 Music Preferences:
User1651 enjoys a variety of music genres, including electronic, rock, and anime soundtracks. They are open to sharing music tastes and discovering new artists with roommates.

📚 Education:
User1651 is dedicated to their studies in Computer Science and is focused on building a successful career in the tech industry. They value education and continuous learning.

🌟 Overall, User1651 is a sociable and fun-loving individual who is looking for a roommate who shares their interests and enjoys a harmonious living environment."
User4346,28,Other,Pune,Vegetarian,Night owl,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room","They are currently studying for their Master's degree in Computer Science and enjoy spending their free time coding, reading, and practicing yoga. They are looking for a roommate who is respectful, quiet, and values a peaceful living environment."
User6180,19,Male,Kolkata,Eggetarian,Flexible,Very Clean,Yes,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries","Their hobbies and interests include reading, playing video games, and exploring new cafes and restaurants. They are currently studying Computer Science at a local university and are focused on their academic goals. In their free time, they enjoy hanging out with friends and watching movies. 

User6180 is looking for a roommate who is responsible, considerate, and easy to get along with. They value a peaceful living environment and prioritize their studies. They are open to sharing chores and expenses with their roommate and are looking for someone who is also focused on their goals and respects personal space. 

If you think you would be a good match for User6180 as a roommate, feel free to reach out to them for further discussions."
User9288,22,Male,Pune,Vegetarian,Early riser,Moderately Clean,No,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room","They are currently studying engineering at a local college and enjoy spending their free time reading, listening to music, and going for walks in nature. They are looking for a roommate who is respectful, quiet, and shares similar lifestyle preferences."
User9900,22,Other,Ahmedabad,Vegetarian,Flexible,Messy,No,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests","🏠 Preferred Living Situation:  
User9900 prefers a shared living space with a clean and organized roommate who does not have frequent guests over. They value a peaceful and tidy living environment.

🍽️ Food Preferences:  
As a vegetarian, User9900 follows a plant-based diet and may prefer a roommate who is respectful of their dietary choices.

💤 Sleep Routine:  
User9900 has a flexible sleep routine, which may mean they are open to different sleep schedules. They may appreciate a roommate who is considerate of their need for rest.

🚭🍷 Lifestyle Choices:  
User9900 does not smoke or drink, so they may prefer a roommate who shares similar lifestyle choices to avoid any conflicts or discomfort.

👫 Social Preferences:  
Being extroverted and loving socializing, User9900 may enjoy having a roommate who is also sociable and open to engaging in social activities together.

🏏 Hobbies and Interests:  
User9900 enjoys watching late-night IPL matches, so they may appreciate a roommate who shares an interest in sports or is understanding of their passion for cricket.

Overall, User9900 is seeking a roommate who aligns with their preferences for cleanliness, lifestyle choices, and social interactions to create a harmonious living environment."
User5333,19,Male,Ahmedabad,Vegetarian,Night owl,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Non-smoker, introverted and cooperative","🏡 Housing Preferences:

User5333 is looking for a roommate in Ahmedabad who is non-smoker, introverted, and cooperative.  
They prefer a moderately clean living environment and are open to sharing a space with someone who follows a similar lifestyle and routine.  
User5333 values their privacy and would appreciate a roommate who respects boundaries and communicates openly.  

📅 Availability:

User5333 is available to move in immediately and is looking for a long-term living arrangement.  
They are open to discussing and negotiating any specific preferences or requirements with potential roommates.  

📧 Contact:

If you are a potential roommate who fits the description provided by User5333 and are interested in discussing further details, please feel free to contact them through their profile or messaging platform."
User4335,28,Other,Chennai,Eggetarian,Night owl,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Open-minded, talkative, doesn't mind visitors","Their preferred living arrangement is: Shared apartment or flat.

They are open to living with roommates of any gender and are looking for someone who is respectful of their lifestyle choices and enjoys socializing."
User5533,18,Male,Pune,Vegetarian,Flexible,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Night owl, enjoys late-night discussions","🏡 Housing Preferences:  
- Preferred location: Pune  
- Budget: Flexible  
- Roommate preferences: Night owl, enjoys late-night discussions  

📅 Availability:  
- Start date: Flexible  
- Duration: Long-term  

📋 Additional Information:  
- Open to sharing household chores  
- Enjoys socializing and having friends over  
- Prefers a relaxed and friendly living environment"
User8007,26,Male,Mumbai,Vegetarian,Flexible,Very Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative","🏠 Preferences for Living Arrangement:
- Looking for a quiet and peaceful living environment
- Prefers a clean and organized living space
- Enjoys occasional social interactions but values personal space

💼 Work/Study Information:
- Currently pursuing a degree in Computer Science
- Works part-time as a freelance web developer
- Spends a lot of time studying and working on coding projects

🌱 Hobbies and Interests:
- Enjoys reading novels, especially in the fantasy and science fiction genres
- Loves watching movies and TV shows in their free time
- Enjoys cooking and trying out new vegetarian recipes

🐾 Pet Preferences:
- Does not have any pets currently but is open to living with a small pet like a cat or fish

🌇 Location Preferences:
- Looking for a roommate in Mumbai, preferably in a quiet and safe neighborhood
- Open to exploring different areas within the city for the right living situation

Overall, User8007 is a responsible and considerate individual looking for a like-minded roommate to share a peaceful living space with."
User3426,24,Male,Delhi,Non-Vegetarian,Night owl,Very Clean,No,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries","🏠 Preferred Accommodation:
- Looking for a shared apartment in South Delhi within a reasonable budget.
- Preferences include having a private room, access to a kitchen for cooking, and a quiet study space.

📚 Education:
- Currently pursuing a Bachelor's degree in Computer Science from Delhi University.
- Interested in exploring opportunities for internships in the tech industry.

🎯 Career Goals:
- Aspiring to become a software developer and work for a leading tech company.
- Open to networking and gaining insights from professionals in the field.

🌟 Interests:
- Enjoys exploring new cuisines and experimenting with recipes in the kitchen.
- Finds relaxation in listening to music, particularly while studying or working on projects.
- Interested in fitness and occasionally goes for morning runs to stay active.

🤝🏽 Communication Style:
- Communicative, open to discussing any concerns or issues to maintain a harmonious living environment.
- Values mutual respect and understanding in interactions with roommates.

🌿 Additional Information:
- Practices mindfulness and meditation to stay focused and maintain a balanced lifestyle.
- Enjoys watching movies and TV shows in leisure time.
- Prefers a peaceful and organized living space for optimal productivity and relaxation."
User2684,23,Other,Lucknow,Eggetarian,Flexible,Very Clean,Yes,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests","Overall, User2684 is a focused and organized student who values cleanliness and prefers a quiet living environment. They are open to roommates who share similar lifestyle habits and prioritize a clean and organized living space."
User7755,18,Male,Pune,Non-Vegetarian,Flexible,Messy,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests","🏡 Preferred Living Arrangement:  
- They prefer a quiet and peaceful living environment.  
- They are open to sharing household chores and responsibilities.  
- They enjoy occasional social interactions but also value personal space.  

💼 Profession/Field of Study:  
- User7755 is a student pursuing a degree in Computer Science.  
- They are focused and dedicated to their studies and academic pursuits.  

🎯 Interests/Hobbies:  
- User7755 enjoys coding, gaming, and watching movies in their free time.  
- They are interested in technology and are constantly learning and improving their skills.  

📍 Location Preferences:  
- They prefer a roommate in Pune, preferably near their university or in a convenient location for transportation.  

🤝 Compatibility Preferences:  
- They are looking for a roommate who shares similar values and preferences when it comes to cleanliness and lifestyle choices.  
- Communication and mutual respect are key factors for a successful roommate relationship.  

📅 Move-In Timeline:  
- User7755 is looking to move in within the next month.  
- They are open to discussing and finalizing details with a potential roommate.  

If you think you are a good match for User7755 based on their preferences and lifestyle, feel free to reach out to them for further discussions and potential roommate arrangements."
User2771,24,Male,Kolkata,Vegetarian,Early riser,Moderately Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries","They are currently pursuing a degree in Computer Science and enjoy programming and coding in their free time. They are also interested in meditation and mindfulness practices.

User2771 is looking for a roommate who is considerate, responsible, and values a quiet and tidy living space. They prefer open communication and a harmonious living environment."
User4652,18,Other,Hyderabad,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Non-smoker, introverted and cooperative","Their hobbies and interests include reading, watching movies, and playing video games. They are currently studying Computer Science and are looking for a quiet and focused environment to study and relax in."
User9346,24,Other,Ahmedabad,Non-Vegetarian,Early riser,Very Clean,No,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket","🏠 Preferred Accommodation:
- Location: Ahmedabad
- Budget: Flexible
- Housing Type: Apartment or shared accommodation

📅 Availability:
- Start Date: Flexible
- Duration: Long-term

🔍 Additional Preferences:
- Gender: No preference
- Age: No preference
- Pets: No pets
- Smoking: Non-smoker preferred
- Drinking: Non-drinker preferred

🤝 About Me:
I am a focused student who values a clean and organized living space. I am an early riser and enjoy starting my day with a cup of chai. In my free time, I love watching and playing cricket. I am looking for a roommate who shares similar values, respects personal space, and is also a cricket enthusiast. If you think we would be a good match, feel free to reach out to me!"
User5349,18,Male,Jaipur,Non-Vegetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket","🏠 Preferred Accommodation:
- Looking for a shared room in a quiet and peaceful environment.
- Prefers a spacious room with natural light.

📚 Study Preferences:
- Studying in the field of Computer Science.
- Enjoys coding and programming.
- Interested in participating in coding competitions and hackathons.

🎯 Future Goals:
- Aspires to become a software developer or data scientist.
- Planning to pursue higher education in Computer Science or related field.
- Interested in gaining practical experience through internships and projects."
User9379,19,Female,Jaipur,Vegetarian,Night owl,Very Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings","Their hobbies include: Reading, painting, meditation, and exploring nature.  
They are currently studying Psychology at a local university and enjoy deep conversations about the mind and human behavior.  
In their free time, they like to visit art galleries and attend yoga workshops.  

They are looking for a roommate who values a peaceful and clean living environment, respects their need for quiet mornings, and shares similar interests in spirituality and wellness."
User9518,26,Other,Hyderabad,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Studious, respects space, loves cricket","They are currently studying Computer Science and enjoy coding projects in their free time. They are also a fan of exploring new technologies and attending tech meetups. In their downtime, they like to unwind by watching sci-fi movies and playing online multiplayer games.

They are looking for a roommate who is responsible, tidy, and respectful of each other's space. They would prefer someone who shares similar interests in technology, gaming, and sports like cricket. They value open communication and a friendly atmosphere in their living space.

Overall, User9518 is a friendly and outgoing individual who is looking for a roommate to share a comfortable and harmonious living environment."
User6143,28,Male,Chennai,Eggetarian,Night owl,Messy,No,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors","Overall, User6143 is a social and fun-loving individual who enjoys staying up late, playing video games, watching anime, and engaging in group activities. They are seeking a roommate who is open-minded, talkative, and welcoming of visitors. If you think you would be a good match for User6143, feel free to reach out to them!"
User5844,26,Male,Hyderabad,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket","🏡 Preferred Accommodation:
- Looking for a shared apartment or flat in a quiet neighborhood.
- Prefers a furnished room with a study desk.

💰 Budget:
- Budget-conscious and looking for a roommate to share expenses.

📅 Move-in Date:
- Flexible move-in date, preferably within the next month.

📚 Education:
- Currently pursuing a Master's degree in Computer Science.
- Enjoys studying and working on projects in a quiet environment.

🏏 Interests:
- Enjoys playing and watching cricket in free time.
- Likes to explore new cafes and restaurants in the city.

🧹 Cleaning Habits:
- Maintains a moderately clean living space and expects the same from a roommate.
- Willing to take turns in cleaning common areas.

🛌 Sleep Routine:
- Flexible sleep routine but generally prefers early mornings.
- Respects quiet hours and values a good night's sleep.

🚭🍸 Smoking and Drinking Habits:
- Occasionally smokes and drinks socially.
- Respects non-smoking and non-drinking preferences of others.

🎶 Music and Entertainment:
- Enjoys listening to a variety of music genres.
- Watches movies and TV shows in free time.

🌿 Pets:
- Open to living with pets as long as they are well-behaved and clean."
User5930,24,Other,Delhi,Non-Vegetarian,Night owl,Very Clean,No,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket","🏠 Preferred Accommodation:
- Location: Delhi
- Type: Apartment
- Budget: Flexible

📅 Availability:
- Move-in Date: Flexible
- Lease Duration: 6 months to 1 year

🔍 Preferences:
- Gender: No preference
- Age: 20-30 years old
- Pets: No pets
- Smoking: Non-smoker
- Drinking: Non-drinker

📧 Contact:
- Email: user5930@example.com
- Phone: Available upon request"
User6279,25,Female,Kolkata,Eggetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Friendly, okay with music, respects privacy","They are currently studying for a degree in Business Administration and are looking for a peaceful environment to focus on their studies. In their free time, they enjoy listening to music and reading books. They are also open to socializing with roommates but value their personal space. 

Overall, User6279 is a responsible and focused individual looking for a roommate who shares similar values and interests."
User5649,26,Other,Jaipur,Non-Vegetarian,Early riser,Very Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries","User5649 is a responsible and tidy individual who values a peaceful living environment. They are looking for a roommate who shares similar habits and respects boundaries. If you are someone who values cleanliness, a quiet atmosphere, and a healthy sleep routine, User5649 may be the ideal roommate for you."
User4262,20,Male,Delhi,Vegetarian,Night owl,Messy,Yes,"Chatty and helpful, often invites friends over","Open-minded, talkative, doesn't mind visitors","They are studying Sociology at a local university and enjoy participating in debates and discussions. In their free time, they like to watch documentaries, explore new cafes, and play football with friends. They are looking for a roommate who is respectful of their space and belongings, but also someone who is sociable and enjoys engaging in conversations and activities together."
