Name,Age,Gender,City,Food_Preference,Sleep_Schedule,Cleanliness_Level,Smoking_Drinking,Personality_Description,Ideal_Roommate
User9518,26,Other,Hyderabad,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Studious, respects space, loves cricket"
User6143,28,Male,Chennai,Eggetarian,Night owl,Messy,No,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User5844,26,Male,Hyderabad,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket"
User5930,24,Other,Delhi,Non-Vegetarian,Night owl,Very Clean,No,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket"
User6279,25,Female,Kolkata,Eggetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Friendly, okay with music, respects privacy"
User5649,26,Other,Jaipur,Non-Vegetarian,Early riser,Very Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries"
User4262,20,Male,Delhi,Vegetarian,Night owl,Messy,Yes,"Chatty and helpful, often invites friends over","Open-minded, talkative, doesn't mind visitors"
User4185,24,Female,Lucknow,Vegetarian,Early riser,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User7965,21,Male,Ahmedabad,Non-Vegetarian,Early riser,Messy,Yes,"Extroverted, loves socializing, watches late-night IPL","Minimalist, prefers clean and peaceful room"
User3184,25,Other,Ahmedabad,Eggetarian,Flexible,Moderately Clean,No,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User7991,26,Female,Bangalore,Eggetarian,Night owl,Moderately Clean,No,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User9540,25,Other,Hyderabad,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries"
User5451,23,Female,Ahmedabad,Vegetarian,Early riser,Very Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Clean and organized, no frequent guests"
User4505,19,Female,Lucknow,Non-Vegetarian,Flexible,Moderately Clean,No,"Introverted, enjoys quiet time, loves reading novels","Similar sleep schedule, respectful of boundaries"
User7883,24,Other,Delhi,Eggetarian,Night owl,Moderately Clean,Yes,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User7389,24,Other,Ahmedabad,Eggetarian,Early riser,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Open-minded, talkative, doesn't mind visitors"
User8956,18,Female,Pune,Eggetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room"
User3091,27,Other,Delhi,Non-Vegetarian,Flexible,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User8022,20,Female,Bangalore,Vegetarian,Night owl,Moderately Clean,No,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User6355,23,Female,Chennai,Non-Vegetarian,Night owl,Very Clean,No,"Introverted, enjoys quiet time, loves reading novels","Night owl, enjoys late-night discussions"
User1853,23,Male,Mumbai,Eggetarian,Early riser,Very Clean,Yes,"Loves cooking, listens to music while studying","Quiet, non-smoker, prefers early mornings"
User3496,21,Male,Kolkata,Eggetarian,Early riser,Messy,Yes,"Chatty and helpful, often invites friends over",Enjoys shared meals and group chats
User7043,20,Other,Jaipur,Eggetarian,Flexible,Very Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Friendly, okay with music, respects privacy"
User1420,22,Other,Lucknow,Non-Vegetarian,Flexible,Very Clean,Yes,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User2669,22,Other,Jaipur,Vegetarian,Flexible,Very Clean,No,"Studies long hours, needs cooperative environment","Open-minded, talkative, doesn't mind visitors"
User7071,19,Other,Pune,Vegetarian,Night owl,Moderately Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative"
User8532,20,Female,Bangalore,Eggetarian,Flexible,Messy,No,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User8921,25,Female,Jaipur,Non-Vegetarian,Night owl,Very Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room"
User4995,25,Other,Jaipur,Eggetarian,Night owl,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Non-smoker, introverted and cooperative"
User3979,25,Male,Pune,Non-Vegetarian,Night owl,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Night owl, enjoys late-night discussions"
User1166,26,Male,Mumbai,Vegetarian,Flexible,Moderately Clean,No,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries"
User8800,28,Other,Kolkata,Non-Vegetarian,Early riser,Very Clean,No,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User4986,22,Other,Jaipur,Non-Vegetarian,Night owl,Messy,Occasionally,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User6419,23,Other,Kolkata,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Similar sleep schedule, respectful of boundaries"
User6169,19,Other,Ahmedabad,Eggetarian,Early riser,Very Clean,Yes,"Chatty and helpful, often invites friends over",Enjoys shared meals and group chats
User9595,27,Female,Mumbai,Vegetarian,Night owl,Very Clean,No,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User1231,26,Male,Chennai,Vegetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room"
User2680,18,Other,Chennai,Non-Vegetarian,Night owl,Moderately Clean,No,"Focused student, prefers early mornings and chai","Quiet, non-smoker, prefers early mornings"
User5136,25,Male,Mumbai,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Clean and organized, no frequent guests"
User3444,27,Female,Mumbai,Vegetarian,Early riser,Messy,No,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket"
User4697,26,Female,Kolkata,Non-Vegetarian,Night owl,Messy,No,"Minimalist, avoids clutter, prefers peaceful environment","Studious, respects space, loves cricket"
User1986,27,Other,Mumbai,Vegetarian,Flexible,Very Clean,No,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests"
User4929,20,Other,Mumbai,Vegetarian,Early riser,Moderately Clean,No,"Enjoys movies, keeps shared areas clean","Minimalist, prefers clean and peaceful room"
User5771,18,Male,Chennai,Eggetarian,Night owl,Messy,No,"Extroverted, loves socializing, watches late-night IPL","Similar sleep schedule, respectful of boundaries"
User5334,28,Other,Hyderabad,Non-Vegetarian,Early riser,Messy,Yes,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User3330,19,Male,Bangalore,Non-Vegetarian,Flexible,Messy,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room"
User3037,25,Other,Chennai,Eggetarian,Night owl,Moderately Clean,Occasionally,"Studies long hours, needs cooperative environment","Minimalist, prefers clean and peaceful room"
User8172,19,Other,Delhi,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings"
User2496,21,Other,Jaipur,Eggetarian,Early riser,Messy,No,"Enjoys movies, keeps shared areas clean","Quiet, non-smoker, prefers early mornings"
User3870,25,Other,Kolkata,Non-Vegetarian,Early riser,Messy,No,"Chatty and helpful, often invites friends over","Friendly, okay with music, respects privacy"
User8700,23,Female,Pune,Non-Vegetarian,Flexible,Very Clean,Yes,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User9117,22,Other,Lucknow,Eggetarian,Early riser,Moderately Clean,Yes,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User6296,19,Female,Ahmedabad,Vegetarian,Flexible,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings"
User4073,26,Female,Jaipur,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User9998,20,Female,Kolkata,Eggetarian,Night owl,Very Clean,Yes,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User3594,22,Other,Delhi,Eggetarian,Night owl,Very Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Minimalist, prefers clean and peaceful room"
User2924,28,Male,Kolkata,Eggetarian,Night owl,Messy,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Open-minded, talkative, doesn't mind visitors"
User8905,25,Male,Kolkata,Eggetarian,Early riser,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User3236,19,Female,Lucknow,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment",Enjoys shared meals and group chats
User9022,20,Female,Ahmedabad,Non-Vegetarian,Night owl,Moderately Clean,Occasionally,"Studies long hours, needs cooperative environment","Open-minded, talkative, doesn't mind visitors"
User8460,23,Male,Hyderabad,Eggetarian,Night owl,Very Clean,No,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative"
User8749,24,Female,Bangalore,Non-Vegetarian,Early riser,Very Clean,Occasionally,"Enjoys movies, keeps shared areas clean","Non-smoker, introverted and cooperative"
User2644,25,Male,Ahmedabad,Non-Vegetarian,Early riser,Messy,Yes,"Spiritual, practices yoga, needs silence in mornings","Clean and organized, no frequent guests"
User2225,25,Female,Pune,Eggetarian,Flexible,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Non-smoker, introverted and cooperative"
User9742,24,Female,Kolkata,Eggetarian,Early riser,Messy,Yes,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User4727,19,Female,Mumbai,Eggetarian,Flexible,Very Clean,No,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User1474,18,Female,Delhi,Non-Vegetarian,Night owl,Moderately Clean,No,"Focused student, prefers early mornings and chai","Similar sleep schedule, respectful of boundaries"
User9702,24,Other,Bangalore,Vegetarian,Early riser,Very Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User4945,25,Other,Bangalore,Vegetarian,Night owl,Messy,No,"Chatty and helpful, often invites friends over",Enjoys shared meals and group chats
User1153,25,Female,Ahmedabad,Vegetarian,Early riser,Moderately Clean,No,"Enjoys movies, keeps shared areas clean",Enjoys shared meals and group chats
User7951,22,Female,Chennai,Vegetarian,Night owl,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User6881,27,Female,Chennai,Vegetarian,Flexible,Moderately Clean,No,"Introverted, enjoys quiet time, loves reading novels","Studious, respects space, loves cricket"
User1803,27,Other,Kolkata,Non-Vegetarian,Early riser,Messy,No,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries"
User5106,28,Other,Bangalore,Eggetarian,Early riser,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels",Enjoys shared meals and group chats
User8222,18,Other,Pune,Eggetarian,Early riser,Very Clean,No,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User3877,21,Male,Ahmedabad,Non-Vegetarian,Flexible,Messy,No,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User8894,22,Other,Pune,Vegetarian,Night owl,Very Clean,Yes,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User6992,19,Female,Delhi,Non-Vegetarian,Flexible,Very Clean,No,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User7242,28,Female,Mumbai,Eggetarian,Early riser,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User6374,27,Male,Mumbai,Eggetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Friendly, okay with music, respects privacy"
User3290,18,Male,Chennai,Non-Vegetarian,Early riser,Very Clean,Yes,"Studies long hours, needs cooperative environment","Clean and organized, no frequent guests"
User7367,25,Female,Ahmedabad,Non-Vegetarian,Flexible,Messy,Occasionally,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors"
User2622,25,Other,Lucknow,Non-Vegetarian,Early riser,Messy,No,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User8285,21,Female,Mumbai,Eggetarian,Night owl,Messy,Occasionally,"Late night gamer, loves anime and group activities","Quiet, non-smoker, prefers early mornings"
User7523,22,Male,Mumbai,Non-Vegetarian,Early riser,Messy,Yes,"Enjoys movies, keeps shared areas clean","Quiet, non-smoker, prefers early mornings"
User1828,23,Male,Bangalore,Eggetarian,Early riser,Very Clean,Occasionally,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User4538,21,Female,Bangalore,Eggetarian,Early riser,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Night owl, enjoys late-night discussions"
User5106,20,Male,Delhi,Vegetarian,Early riser,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Non-smoker, introverted and cooperative"
User1258,20,Female,Delhi,Vegetarian,Flexible,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User8802,25,Female,Ahmedabad,Eggetarian,Early riser,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User1710,28,Other,Chennai,Non-Vegetarian,Flexible,Very Clean,Yes,"Chatty and helpful, often invites friends over","Open-minded, talkative, doesn't mind visitors"
User7984,28,Male,Kolkata,Eggetarian,Night owl,Very Clean,Yes,"Late night gamer, loves anime and group activities","Studious, respects space, loves cricket"
User3430,19,Male,Chennai,Eggetarian,Flexible,Messy,Occasionally,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User9692,22,Female,Ahmedabad,Eggetarian,Night owl,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Night owl, enjoys late-night discussions"
User4522,24,Female,Hyderabad,Non-Vegetarian,Night owl,Moderately Clean,No,"Spiritual, practices yoga, needs silence in mornings","Friendly, okay with music, respects privacy"
User6120,24,Female,Chennai,Non-Vegetarian,Early riser,Messy,No,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User2398,19,Female,Mumbai,Eggetarian,Flexible,Moderately Clean,Yes,"Studies long hours, needs cooperative environment","Quiet, non-smoker, prefers early mornings"
User6400,28,Male,Lucknow,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels",Enjoys shared meals and group chats
User6119,23,Male,Jaipur,Eggetarian,Early riser,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User2773,23,Other,Pune,Vegetarian,Night owl,Messy,Yes,"Spiritual, practices yoga, needs silence in mornings","Night owl, enjoys late-night discussions"
User1430,27,Other,Chennai,Vegetarian,Early riser,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Non-smoker, introverted and cooperative"
User6751,18,Male,Bangalore,Eggetarian,Flexible,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Quiet, non-smoker, prefers early mornings"
User2503,26,Male,Lucknow,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User6314,27,Other,Mumbai,Vegetarian,Early riser,Very Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User5458,25,Other,Lucknow,Non-Vegetarian,Flexible,Moderately Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries"
User9394,19,Female,Lucknow,Vegetarian,Night owl,Messy,Occasionally,"Enjoys movies, keeps shared areas clean","Minimalist, prefers clean and peaceful room"
User9633,28,Female,Delhi,Vegetarian,Night owl,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Similar sleep schedule, respectful of boundaries"
User5938,21,Male,Chennai,Non-Vegetarian,Night owl,Very Clean,Yes,"Chatty and helpful, often invites friends over","Open-minded, talkative, doesn't mind visitors"
User3878,20,Female,Ahmedabad,Eggetarian,Early riser,Messy,Occasionally,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User7505,18,Female,Delhi,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User7626,28,Female,Chennai,Vegetarian,Night owl,Very Clean,No,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket"
User8538,23,Male,Lucknow,Vegetarian,Early riser,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Night owl, enjoys late-night discussions"
User2288,24,Female,Pune,Vegetarian,Night owl,Very Clean,Yes,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy"
User9693,26,Male,Pune,Non-Vegetarian,Flexible,Messy,Yes,"Loves cooking, listens to music while studying","Friendly, okay with music, respects privacy"
User3399,22,Male,Bangalore,Eggetarian,Early riser,Messy,Yes,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room"
User8601,27,Other,Kolkata,Eggetarian,Flexible,Messy,Occasionally,"Enjoys movies, keeps shared areas clean","Non-smoker, introverted and cooperative"
User6179,20,Female,Mumbai,Non-Vegetarian,Night owl,Messy,No,"Minimalist, avoids clutter, prefers peaceful environment","Studious, respects space, loves cricket"
User1920,23,Other,Mumbai,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative"
User5703,19,Other,Mumbai,Eggetarian,Flexible,Messy,No,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User1672,25,Other,Hyderabad,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai","Quiet, non-smoker, prefers early mornings"
User8381,19,Female,Mumbai,Eggetarian,Flexible,Very Clean,Yes,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User8199,26,Other,Jaipur,Vegetarian,Night owl,Moderately Clean,No,"Spiritual, practices yoga, needs silence in mornings","Open-minded, talkative, doesn't mind visitors"
User6543,28,Other,Delhi,Eggetarian,Flexible,Moderately Clean,Yes,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User7333,22,Female,Jaipur,Vegetarian,Night owl,Very Clean,Occasionally,"Focused student, prefers early mornings and chai","Non-smoker, introverted and cooperative"
User6082,28,Other,Lucknow,Vegetarian,Flexible,Messy,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Night owl, enjoys late-night discussions"
User7171,28,Female,Bangalore,Eggetarian,Flexible,Messy,Occasionally,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy"
User7937,26,Female,Delhi,Non-Vegetarian,Night owl,Very Clean,Yes,"Late night gamer, loves anime and group activities","Minimalist, prefers clean and peaceful room"
User4145,21,Male,Bangalore,Vegetarian,Night owl,Very Clean,Occasionally,"Studies long hours, needs cooperative environment","Night owl, enjoys late-night discussions"
User1618,28,Female,Jaipur,Vegetarian,Flexible,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User3712,25,Male,Lucknow,Non-Vegetarian,Flexible,Messy,Yes,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User5668,25,Male,Ahmedabad,Vegetarian,Night owl,Moderately Clean,Yes,"Late night gamer, loves anime and group activities","Studious, respects space, loves cricket"
User8218,25,Female,Lucknow,Eggetarian,Flexible,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User3267,22,Male,Kolkata,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy"
User5670,19,Male,Chennai,Non-Vegetarian,Flexible,Very Clean,No,"Extroverted, loves socializing, watches late-night IPL","Similar sleep schedule, respectful of boundaries"
User8391,23,Male,Lucknow,Vegetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
